,Star Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,2.74921344e-35,1.3667479e-12
1,2MASS J00040288-6410358,192.0,1.0882303200000001e-35,2.2710623e-12
2,2MASS J00242463-0158201,37.7,4.52474712e-35,1.5208924e-12
3,2MASS J00274197+0503417,236.0,1.7755336800000002e-35,1.9936021999999996e-12
4,2MASSW J0030300-145033,87.2,3.0833192400000004e-35,1.3564715999999999e-12
5,2MASS J00332386-1521309 [de],131.0,1.6609831200000001e-35,1.9833259e-12
6,2MASS J00345157+0523050,31.0,2.40556176e-35,1.3050901e-12
7,2MASS 0036+1821,28.6,2.40556176e-35,1.3050901e-12
8,2MASSW J0045214+163445,57.0,1.3268773200000001e-35,2.2505096999999997e-12
9,WISEP J004701.06+680352.1 [fr],40.0,6.863487720000001e-36,1.7983525e-12
10,2MASS J00501994-3322402 [de],34.0,2.2910112000000003e-35,1.3050901e-12
11,2MASS J00584253-0651239 [de],96.0,1.6609831200000001e-35,1.9833259e-12
12,2MASSI J0103320+193536,70.0,2.98786044e-35,1.3564715999999999e-12
13,SDSSp J010752.33+004156.1 [de],51.0,2.98786044e-35,1.3564715999999999e-12
14,2MASSI J0117474-340325 [de],163.0,1.1455056000000001e-35,2.2505096999999997e-12
15,2MASS J01415823-4633574 [de],130.0,1.1455056000000001e-35,2.2402333999999996e-12
16,SDSS J015141.69+124429.6,70.0,2.69193816e-35,1.3461953e-12
17,SDSS J020742.48+000056.2 [de],111.0,2.69193816e-35,1.3461953e-12
18,2MASS J02103857-3015313,101.0,8.55310848e-36,2.1169177999999998e-12
19,2MASS J02340093-6442068,155.0,1.1455056000000001e-35,2.2505096999999997e-12
20,2MASS J02411151-0326587 [de],152.0,1.54643256e-35,1.952497e-12
21,2MASS J02431371−2453298,35.0,1.89963012e-35,1.3667479e-12
22,LP 771-21,53.0,4.4674718400000005e-35,1.5003398e-12
23,2MASS J02535980+3206373,184.0,3.7228932000000004e-35,2.6410090999999998e-12
24,WISE J0254+0223,24.0,3.7228932000000004e-35,2.6410090999999998e-12
25,DEN 0255-4700,16.2,4.5820224000000006e-35,1.3461953e-12
26,2MASS J03185403-3421292 [de],45.0,2.8064887200000007e-35,1.3461953e-12
27,2MASS J03205965+1854233,47.0,5.04022464e-35,1.5928265e-12
28,2MASS J03231002-4631237,192.0,1.3268773200000001e-35,2.3018912e-12
29,SDSS J032553.17+042540.1,59.0,2.5773876000000006e-35,1.3153664e-12
30,2MASS J03264225-2102057 [de],80.0,1.0309550400000001e-35,1.7983525e-12
31,2MASS J03284265+2302051 [de],98.0,3.0833192400000004e-35,1.3564715999999999e-12
32,2MASS J03341218-4953322,27.0,4.1715495600000007e-35,1.4386819999999998e-12
33,LP 944-20,20.9,4.1715495600000007e-35,1.9833259e-12
34,2MASP J0345432+254023,88.0,4.2383707200000005e-35,1.4695109e-12
35,Teide 1,380.0,3.1501404e-35,5.240913e-12
