,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.10478078144416
1,Sirius,8.6,4.1769000000000005e+30,1189647000.0,196.8537463291381
2,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.38559643026983
3,Altair,17,3.5802e+30,1252260000.0,152.280433767469
4,Fomalhaut,25,3.7791e+30,1252260000.0,160.7404578656617
5,Tau Ceti,11.9,1.557387e+30,621260100.0,269.1382688446168
6,Delta Pavonis,19.92,1.971099e+30,848754000.0,182.50325030530175
7,Titawin,44.25,2.5260300000000002e+30,1029636000.0,158.9267127430762
8,54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.76237369159975
9,2MASSW J0045214+163445,57.0,4.3669537236e+28,115817394.942,217.1485027627916
10,WISEP J004701.06+680352.1 [fr],40.0,2.2784106384e+28,92939884.82999998,175.9355381478787
11,2MASS J03264225-2102057 [de],80.0,3.4176159576e+28,92939884.82999998,263.90330722181807
12,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.407579076671
13,2MASS J04433764+0002040,82.0,4.1770861704e+28,127256149.99799998,172.04486250521114
14,2MASS J05012406-0010452 [de],64.0,3.9872186172e+28,98659262.35799998,273.2248236044693
15,LSR 0602+3910 [de],34.6,5.3162914896e+28,100804028.93099998,348.9625632998684
16,2MASS J10224821+5825453 [de],60.0,5.1264239364e+28,100804028.93099998,336.49961461058746
17,DENIS-P J142527.97-365023.4 [de],38.0,3.9872186172e+28,94369729.212,298.6279580305046
18,2MASSW J2206450-421721,93.0,4.1770861704e+28,95084651.403,308.16153675250763
19,2MASSW J2244316+204343,56.0,2.2784106384e+28,92224962.63899998,178.67379332366744
20,2MASS J23224684-3133231,56.0,4.5568212768e+28,99374184.54899998,307.7801971636199
